Time(millis);b_voltage;b_current
97878;752.000;387.000
98134;752.000;383.000
98388;751.000;384.000
98638;751.000;386.000
98888;752.000;384.000
99138;751.000;376.000
99393;750.000;387.000
99643;751.000;387.000
99893;752.000;382.000
100143;752.000;381.000
100399;752.000;382.000
100654;752.000;382.000
100910;751.000;386.000
101166;751.000;386.000
101422;752.000;384.000
101678;751.000;384.000
101934;751.000;382.000
102189;751.000;386.000
102445;751.000;386.000
102701;750.000;391.000
102957;750.000;384.000
103213;750.000;381.000
103469;750.000;384.000
103725;750.000;382.000
103980;750.000;386.000
104236;750.000;385.000
104492;750.000;384.000
104748;750.000;386.000
105004;750.000;389.000
105260;750.000;385.000
105515;751.000;380.000
105771;750.000;383.000
106027;750.000;386.000
106283;750.000;384.000
106539;750.000;387.000
106795;749.000;385.000
107049;749.000;381.000
107299;749.000;384.000
107549;750.000;386.000
107799;749.000;384.000
108055;749.000;383.000
108310;749.000;387.000
108560;750.000;387.000
108810;749.000;381.000
109060;748.000;384.000
109316;749.000;384.000
109571;748.000;383.000
109827;749.000;386.000
110083;750.000;385.000
110339;749.000;388.000
110595;750.000;387.000
110851;749.000;383.000
111106;750.000;382.000
111362;749.000;390.000
111618;749.000;384.000
111874;749.000;388.000
112130;748.000;389.000
112386;748.000;383.000
112641;748.000;383.000
112897;747.000;386.000
113153;748.000;381.000
113409;747.000;389.000
113665;747.000;385.000
113921;748.000;386.000
114177;747.000;387.000
114432;747.000;382.000
114688;748.000;385.000
114944;748.000;382.000
115200;748.000;385.000
115456;748.000;385.000
115712;748.000;391.000
115966;748.000;386.000
116216;747.000;384.000
116466;748.000;383.000
116716;747.000;388.000
116972;747.000;384.000
117227;746.000;386.000
117477;746.000;383.000
117727;747.000;388.000
117977;746.000;386.000
118232;746.000;385.000
118488;746.000;382.000
118744;746.000;384.000
119000;746.000;389.000
119256;746.000;383.000
119512;746.000;379.000
119768;746.000;385.000
120023;746.000;389.000
120279;747.000;386.000
120535;745.000;384.000
120791;745.000;385.000
121047;745.000;385.000
121303;744.000;386.000
121558;744.000;382.000
121814;744.000;385.000
122070;744.000;385.000
122326;744.000;387.000
122582;744.000;384.000
122838;744.000;383.000
123094;743.000;384.000
123348;743.000;385.000
123598;744.000;383.000
123848;743.000;385.000
124098;744.000;392.000
124353;744.000;391.000
124603;743.000;382.000
124853;743.000;386.000
125103;743.000;386.000
125359;743.000;388.000
